Time_abs/ps, Signal/nA
  1000.000,    -0.126420
  1000.050,    -0.069470
  1000.100,    -0.008046
  1000.150,     0.064275
  1000.200,     0.139661
  1000.250,     0.219095
  1000.300,     0.299788
  1000.350,     0.388336
  1000.400,     0.476504
  1000.450,     0.563926
  1000.500,     0.655049
  1000.550,     0.751175
  1000.600,     0.846352
  1000.650,     0.947155
  1000.700,     1.047633
  1000.750,     1.152442
  1000.800,     1.254328
  1000.850,     1.362673
  1000.900,     1.467689
  1000.950,     1.565727
  1001.000,     1.666129
  1001.050,     1.759955
  1001.100,     1.851386
  1001.150,     1.940722
  1001.200,     2.020884
  1001.250,     2.104288
  1001.300,     2.178756
  1001.350,     2.252753
  1001.400,     2.326071
  1001.450,     2.397680
  1001.500,     2.465732
  1001.550,     2.538154
  1001.600,     2.602322
  1001.650,     2.669694
  1001.700,     2.734790
  1001.750,     2.798284
  1001.800,     2.857538
  1001.850,     2.914085
  1001.900,     2.965527
  1001.950,     3.008039
  1002.000,     3.046140
  1002.050,     3.079927
  1002.100,     3.114335
  1002.150,     3.148464
  1002.200,     3.187384
  1002.250,     3.227562
  1002.300,     3.257538
  1002.350,     3.280182
  1002.400,     3.283508
  1002.450,     3.260823
  1002.500,     3.219519
  1002.550,     3.158993
  1002.600,     3.084689
  1002.650,     3.008479
  1002.700,     2.942906
  1002.750,     2.880346
  1002.800,     2.829048
  1002.850,     2.790747
  1002.900,     2.758529
  1002.950,     2.731989
  1003.000,     2.714931
  1003.050,     2.694659
  1003.100,     2.678586
  1003.150,     2.655778
  1003.200,     2.629496
  1003.250,     2.600267
  1003.300,     2.571618
  1003.350,     2.535634
  1003.400,     2.505585
  1003.450,     2.478528
  1003.500,     2.458585
  1003.550,     2.443245
  1003.600,     2.440041
  1003.650,     2.440851
  1003.700,     2.449972
  1003.750,     2.461924
  1003.800,     2.474430
  1003.850,     2.487523
  1003.900,     2.498481
  1003.950,     2.508878
  1004.000,     2.518296
  1004.050,     2.526330
  1004.100,     2.535089
  1004.150,     2.541510
  1004.200,     2.555066
  1004.250,     2.572373
  1004.300,     2.593071
  1004.350,     2.619817
  1004.400,     2.649983
  1004.450,     2.681914
  1004.500,     2.725662
  1004.550,     2.763032
  1004.600,     2.809359
  1004.650,     2.861273
  1004.700,     2.914056
  1004.750,     2.968414
  1004.800,     3.024444
  1004.850,     3.078739
  1004.900,     3.131719
  1004.950,     3.180601
  1005.000,     3.233199
  1005.050,     3.283118
  1005.100,     3.330039
  1005.150,     3.381775
  1005.200,     3.428975
  1005.250,     3.475488
  1005.300,     3.524386
  1005.350,     3.569012
  1005.400,     3.612162
  1005.450,     3.649007
  1005.500,     3.684994
  1005.550,     3.716372
  1005.600,     3.741910
  1005.650,     3.766573
  1005.700,     3.788553
  1005.750,     3.806413
  1005.800,     3.822714
  1005.850,     3.835824
  1005.900,     3.843717
  1005.950,     3.853415
  1006.000,     3.852090
  1006.050,     3.854276
  1006.100,     3.848560
  1006.150,     3.840866
  1006.200,     3.826493
  1006.250,     3.811851
  1006.300,     3.788038
  1006.350,     3.760979
  1006.400,     3.732778
  1006.450,     3.694192
  1006.500,     3.657136
  1006.550,     3.612214
  1006.600,     3.571287
  1006.650,     3.528673
  1006.700,     3.480768
  1006.750,     3.433326
  1006.800,     3.387927
  1006.850,     3.336173
  1006.900,     3.284960
  1006.950,     3.229980
  1007.000,     3.173679
  1007.050,     3.109496
  1007.100,     3.047805
  1007.150,     2.980659
  1007.200,     2.915260
  1007.250,     2.850910
  1007.300,     2.783486
  1007.350,     2.725763
  1007.400,     2.668076
  1007.450,     2.615712
  1007.500,     2.569373
  1007.550,     2.526429
  1007.600,     2.488174
  1007.650,     2.455082
  1007.700,     2.423570
  1007.750,     2.392345
  1007.800,     2.364039
  1007.850,     2.339199
  1007.900,     2.311821
  1007.950,     2.291893
  1008.000,     2.274188
  1008.050,     2.259814
  1008.100,     2.249494
  1008.150,     2.242164
  1008.200,     2.237834
  1008.250,     2.232760
  1008.300,     2.227017
  1008.350,     2.219779
  1008.400,     2.211952
  1008.450,     2.202514
  1008.500,     2.189384
  1008.550,     2.181398
  1008.600,     2.167402
  1008.650,     2.161058
  1008.700,     2.153279
  1008.750,     2.151432
  1008.800,     2.150089
  1008.850,     2.152313
  1008.900,     2.154740
  1008.950,     2.158965
  1009.000,     2.163936
  1009.050,     2.167265
  1009.100,     2.168846
  1009.150,     2.168283
  1009.200,     2.168916
  1009.250,     2.171633
  1009.300,     2.169235
  1009.350,     2.170777
  1009.400,     2.175260
  1009.450,     2.176806
  1009.500,     2.183803
  1009.550,     2.192582
  1009.600,     2.202534
  1009.650,     2.214965
  1009.700,     2.230663
  1009.750,     2.244671
  1009.800,     2.261169
  1009.850,     2.283703
  1009.900,     2.298263
  1009.950,     2.317335
  1010.000,     2.333094
  1010.050,     2.349924
  1010.100,     2.361144
  1010.150,     2.370819
  1010.200,     2.378053
  1010.250,     2.380376
  1010.300,     2.377762
  1010.350,     2.374311
  1010.400,     2.363420
  1010.450,     2.349842
  1010.500,     2.333750
  1010.550,     2.314442
  1010.600,     2.290737
  1010.650,     2.266955
  1010.700,     2.239738
  1010.750,     2.206493
  1010.800,     2.175555
  1010.850,     2.140006
  1010.900,     2.100193
  1010.950,     2.064242
  1011.000,     2.022839
  1011.050,     1.984691
  1011.100,     1.946388
  1011.150,     1.909857
  1011.200,     1.875853
  1011.250,     1.841742
  1011.300,     1.810073
  1011.350,     1.778904
  1011.400,     1.753851
  1011.450,     1.727551
  1011.500,     1.703716
  1011.550,     1.681031
  1011.600,     1.662028
  1011.650,     1.647931
  1011.700,     1.636824
  1011.750,     1.628112
  1011.800,     1.620468
  1011.850,     1.621495
  1011.900,     1.627703
  1011.950,     1.639141
  1012.000,     1.654229
  1012.050,     1.673477
  1012.100,     1.696164
  1012.150,     1.721094
  1012.200,     1.746372
  1012.250,     1.773964
  1012.300,     1.799639
  1012.350,     1.828341
  1012.400,     1.852533
  1012.450,     1.878952
  1012.500,     1.904497
  1012.550,     1.929228
  1012.600,     1.957248
  1012.650,     1.987127
  1012.700,     2.018599
  1012.750,     2.050013
  1012.800,     2.087068
  1012.850,     2.124945
  1012.900,     2.163951
  1012.950,     2.207882
  1013.000,     2.252761
  1013.050,     2.298549
  1013.100,     2.350401
  1013.150,     2.399124
  1013.200,     2.447441
  1013.250,     2.501991
  1013.300,     2.552331
  1013.350,     2.601435
  1013.400,     2.654461
  1013.450,     2.708212
  1013.500,     2.761003
  1013.550,     2.818406
  1013.600,     2.872606
  1013.650,     2.929827
  1013.700,     2.987532
  1013.750,     3.042910
  1013.800,     3.098993
  1013.850,     3.150354
  1013.900,     3.200612
  1013.950,     3.249341
  1014.000,     3.294296
  1014.050,     3.340314
  1014.100,     3.386741
  1014.150,     3.431446
  1014.200,     3.478034
  1014.250,     3.524348
  1014.300,     3.570502
  1014.350,     3.615422
  1014.400,     3.660454
  1014.450,     3.706810
  1014.500,     3.747554
  1014.550,     3.780560
  1014.600,     3.814791
  1014.650,     3.844314
  1014.700,     3.867129
  1014.750,     3.889053
  1014.800,     3.909236
  1014.850,     3.927939
  1014.900,     3.948671
  1014.950,     3.964674
  1015.000,     3.986776
  1015.050,     4.004299
  1015.100,     4.028476
  1015.150,     4.050467
  1015.200,     4.072442
  1015.250,     4.097022
  1015.300,     4.116813
  1015.350,     4.136254
  1015.400,     4.157849
  1015.450,     4.177147
  1015.500,     4.193603
  1015.550,     4.212723
  1015.600,     4.229767
  1015.650,     4.248671
  1015.700,     4.273041
  1015.750,     4.297879
  1015.800,     4.324725
  1015.850,     4.357346
  1015.900,     4.391125
  1015.950,     4.426447
  1016.000,     4.462323
  1016.050,     4.500901
  1016.100,     4.540654
  1016.150,     4.580514
  1016.200,     4.616957
  1016.250,     4.653552
  1016.300,     4.685042
  1016.350,     4.717750
  1016.400,     4.745367
  1016.450,     4.772878
  1016.500,     4.804088
  1016.550,     4.829824
  1016.600,     4.859609
  1016.650,     4.886189
  1016.700,     4.917005
  1016.750,     4.945906
  1016.800,     4.978836
  1016.850,     5.008080
  1016.900,     5.036854
  1016.950,     5.071383
  1017.000,     5.104596
  1017.050,     5.136743
  1017.100,     5.177727
  1017.150,     5.213273
  1017.200,     5.250142
  1017.250,     5.283730
  1017.300,     5.319891
  1017.350,     5.356012
  1017.400,     5.386668
  1017.450,     5.417273
  1017.500,     5.445523
  1017.550,     5.467621
  1017.600,     5.484104
  1017.650,     5.500722
  1017.700,     5.518296
  1017.750,     5.528033
  1017.800,     5.541050
  1017.850,     5.552440
  1017.900,     5.566418
  1017.950,     5.583082
  1018.000,     5.599656
  1018.050,     5.621153
  1018.100,     5.644374
  1018.150,     5.670419
  1018.200,     5.695250
  1018.250,     5.721665
  1018.300,     5.750656
  1018.350,     5.776422
  1018.400,     5.803343
  1018.450,     5.829176
  1018.500,     5.851840
  1018.550,     5.875106
  1018.600,     5.895528
  1018.650,     5.914719
