Time_abs/ps, Signal/nA, Ref.signal/nA
   885.000,    -1.704275,    -1.548700
   885.050,    -1.394008,    -1.334448
   885.100,    -0.589904,    -0.615985
   885.150,     0.827352,     0.790496
   885.200,     2.860834,     2.708637
   885.250,     5.366894,     5.123105
   885.300,     7.986825,     7.669522
   885.350,    10.182670,     9.928879
   885.400,    11.361198,    11.240477
   885.450,    11.033800,    11.070196
   885.500,     9.082237,     9.319082
   885.550,     5.841261,     6.347037
   885.600,     2.066064,     2.725178
   885.650,    -1.319436,    -0.631647
   885.700,    -3.618731,    -3.013355
   885.750,    -4.621267,    -4.110180
   885.800,    -4.547529,    -4.234729
   885.850,    -3.809285,    -3.620926
   885.900,    -2.717117,    -2.626907
   885.950,    -1.440443,    -1.380984
   886.000,    -0.107634,    -0.095200
   886.050,     1.072497,     1.045464
   886.100,     1.869014,     1.791293
   886.150,     2.186820,     2.090326
   886.200,     2.152668,     2.101946
   886.250,     1.981803,     1.939598
   886.300,     1.798396,     1.841834
   886.350,     1.602791,     1.670919
   886.400,     1.382167,     1.479987
   886.450,     1.189153,     1.371201
   886.500,     1.104077,     1.229978
   886.550,     1.134287,     1.321518
   886.600,     1.229812,     1.370674
   886.650,     1.332556,     1.508298
   886.700,     1.421200,     1.546679
   886.750,     1.481712,     1.572969
   886.800,     1.489675,     1.632422
   886.850,     1.439959,     1.543056
   886.900,     1.327487,     1.449874
   886.950,     1.171010,     1.241466
   887.000,     1.000471,     1.045391
   887.050,     0.837755,     0.937569
   887.100,     0.722994,     0.797525
   887.150,     0.651553,     0.679326
   887.200,     0.603633,     0.646288
   887.250,     0.565988,     0.675297
   887.300,     0.519379,     0.566391
   887.350,     0.458927,     0.555474
   887.400,     0.390631,     0.559911
   887.450,     0.321058,     0.412129
   887.500,     0.245858,     0.396636
   887.550,     0.174667,     0.302215
   887.600,     0.119058,     0.284327
   887.650,     0.081222,     0.188060
   887.700,     0.047192,     0.133740
   887.750,     0.015218,     0.142933
   887.800,    -0.023479,     0.076692
   887.850,    -0.063403,     0.015772
   887.900,    -0.109151,    -0.000885
   887.950,    -0.162197,    -0.067454
   888.000,    -0.215700,    -0.127528
   888.050,    -0.249543,    -0.190596
   888.100,    -0.260568,    -0.160177
   888.150,    -0.257205,    -0.169960
   888.200,    -0.251798,    -0.181961
   888.250,    -0.241392,    -0.175058
   888.300,    -0.223884,    -0.132578
   888.350,    -0.192257,    -0.065130
   888.400,    -0.151871,    -0.044129
   888.450,    -0.112840,    -0.037232
   888.500,    -0.073857,     0.053312
   888.550,    -0.041180,     0.100453
   888.600,    -0.019823,     0.123421
   888.650,    -0.016347,     0.105564
   888.700,    -0.038775,     0.086673
   888.750,    -0.070462,     0.070408
   888.800,    -0.091040,     0.015356
   888.850,    -0.090342,     0.002232
   888.900,    -0.070422,    -0.014236
   888.950,    -0.041960,     0.058002
   889.000,    -0.018713,     0.034833
   889.050,    -0.000330,     0.117397
   889.100,     0.020014,     0.088430
   889.150,     0.034493,     0.157838
   889.200,     0.055910,     0.186894
   889.250,     0.085519,     0.211586
   889.300,     0.117474,     0.264667
   889.350,     0.159271,     0.287596
   889.400,     0.209366,     0.320423
   889.450,     0.275067,     0.361681
   889.500,     0.367850,     0.458749
   889.550,     0.501688,     0.553144
   889.600,     0.680570,     0.731762
   889.650,     0.906781,     0.958887
   889.700,     1.175540,     1.214224
   889.750,     1.465529,     1.471104
   889.800,     1.759582,     1.810561
   889.850,     2.027300,     2.045349
   889.900,     2.260901,     2.333907
   889.950,     2.466839,     2.531002
   890.000,     2.676464,     2.690879
   890.050,     2.917368,     2.947756
   890.100,     3.205917,     3.267338
   890.150,     3.485947,     3.523217
   890.200,     3.631328,     3.690953
   890.250,     3.513351,     3.672165
   890.300,     3.028858,     3.236017
   890.350,     2.193487,     2.500926
   890.400,     1.149758,     1.546387
   890.450,     0.144310,     0.545008
   890.500,    -0.599362,    -0.249976
   890.550,    -0.988860,    -0.659736
   890.600,    -1.060823,    -0.754664
   890.650,    -0.943157,    -0.758604
   890.700,    -0.777770,    -0.538661
   890.750,    -0.616087,    -0.459718
   890.800,    -0.488599,    -0.340111
   890.850,    -0.408408,    -0.229910
   890.900,    -0.434618,    -0.168252
   890.950,    -0.610549,    -0.324788
   891.000,    -0.955089,    -0.698001
   891.050,    -1.411145,    -1.066772
   891.100,    -1.908069,    -1.619000
   891.150,    -2.425706,    -2.093932
   891.200,    -2.975302,    -2.628161
   891.250,    -3.574787,    -3.207397
   891.300,    -4.225686,    -3.862680
   891.350,    -4.900100,    -4.493450
   891.400,    -5.594804,    -5.134570
   891.450,    -6.333372,    -5.850107
   891.500,    -7.138293,    -6.566510
   891.550,    -8.010647,    -7.383414
   891.600,    -8.949241,    -8.353771
   891.650,    -9.963189,    -9.284939
   891.700,   -11.056521,   -10.423639
   891.750,   -12.214111,   -11.592042
   891.800,   -13.403634,   -12.821269
   891.850,   -14.603555,   -14.065604
   891.900,   -15.793314,   -15.241693
   891.950,   -16.976428,   -16.409398
   892.000,   -18.219845,   -17.683701
   892.050,   -19.610496,   -19.030137
   892.100,   -21.260586,   -20.607234
   892.150,   -23.256714,   -22.512774
   892.200,   -25.678289,   -24.823782
   892.250,   -28.506019,   -27.483085
   892.300,   -31.601330,   -30.468742
   892.350,   -34.767824,   -33.568053
   892.400,   -37.830482,   -36.610701
   892.450,   -40.701683,   -39.521292
   892.500,   -43.474941,   -42.467812
   892.550,   -46.327430,   -45.539788
   892.600,   -49.450984,   -49.011067
   892.650,   -52.942236,   -52.938250
   892.700,   -56.802538,   -57.240843
   892.750,   -60.964378,   -61.769098
   892.800,   -65.254664,   -66.362305
   892.850,   -69.265972,   -70.463852
   892.900,   -72.227422,   -73.507593
   892.950,   -72.777793,   -74.165017
   893.000,   -68.850255,   -70.830085
   893.050,   -57.663424,   -60.824913
   893.100,   -35.806936,   -41.180224
   893.150,     0.598664,    -8.196980
   893.200,    55.186840,    41.906803
   893.250,   130.074680,   111.566504
   893.300,   223.987256,   200.504662
   893.350,   329.931540,   303.242065
   893.400,   433.423080,   407.121436
   893.450,   512.862369,   492.056472
   893.500,   543.214765,   533.966691
   893.550,   503.501602,   510.616573
   893.600,   386.364642,   411.761045
   893.650,   205.050628,   246.581311
   893.700,    -6.756786,    44.085726
