p0, x: [30.023, 672.281, 29.859] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.137, 643.613, 31.137] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [29.602, 663.586, 29.445] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [28.516, 666.676, 28.746] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [30.281, 646.902, 29.664] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [30.426, 645.246, 29.324] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.902, 649.195, 29.605] 
p0, x: [30.0, 651.0, 30.0] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [30.223, 648.602, 29.426] 
p0, x: [28.516, 666.676, 28.746] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [30.0, 651.0, 30.0] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [28.434, 667.234, 27.902] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [30.016, 672.281, 28.539] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [30.281, 646.902, 29.664] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [30.293, 648.336, 29.078] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [30.418, 646.258, 28.988] 
p0, x: [27.969, 670.961, 28.695] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.137, 643.613, 31.137] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.602, 663.586, 29.445] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [30.0, 651.0, 30.0] 
p0, x: [30.0, 651.0, 30.0] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [30.352, 646.949, 29.145] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [31.137, 643.613, 31.137] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [30.258, 647.625, 29.535] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [30.281, 646.902, 29.664] 
p0, x: [27.969, 670.961, 28.695] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [29.578, 666.336, 27.812] 
p0, x: [31.258, 646.195, 28.766] 
p0, x: [30.281, 646.902, 29.664] 
